,Non_NMF_Importance,NMF_Importance,Combined_Importance
GDPpc,0.28830272108843535,0.03703345306807369,0.32533617415650906
Internet_use,0.16595493197278913,0.14614227852796824,0.31209721050075734
Literacy_15_24yrs,0.0,0.20431315738550715,0.20431315738550715
Freemv_M,0.0,0.1995414083010409,0.1995414083010409
Freemv_F,0.0,0.19691180999379207,0.19691180999379207
F_school,0.02393469387755101,0.16650942267667895,0.19044411655422996
Free_discuss,0.019041666666666658,0.15732543723169018,0.17636710389835683
Democ,0.0,0.16731378070123498,0.16731378070123498
Sexwrk_condom,0.008314285714285698,0.15757279244339487,0.16588707815768056
KOF_Globalis,0.0142095238095238,0.14752565079638594,0.16173517460590975
Minority_rule,0.1339714285714286,0.018234135147259228,0.15220556371868782
CPI,0.046549999999999994,0.09687835738115891,0.1434283573811589
Rape_report,0.0,0.1295194599060665,0.1295194599060665
Broadband,0.057985714285714286,0.06954687304842956,0.12753258733414385
ATMs,0.05413112244897959,0.06458873332059746,0.11871985576957705
Infrastruct,0.0,0.10124818098452049,0.10124818098452049
Soc_powerdist,0.0,0.09045163131596744,0.09045163131596744
Phys_secF,0.0,0.08626157596965227,0.08626157596965227
Work_rightCIRI,0.0,0.08257786089392768,0.08257786089392768
Armedcon,0.012142857142857138,0.06867750884197464,0.08082036598483178
Maternal_mort,0.0622190476190476,0.014461540173155808,0.07668058779220341
Rape_enclave,0.0,0.07457962674006999,0.07457962674006999
Stunting_u5s,0.0320360544217687,0.037286053328393236,0.06932210775016193
Gender_equal,0.0,0.05691999519361524,0.05691999519361524
Trade_open,0.0,0.04924153830038368,0.04924153830038368
Unemploy,0.0,0.045638928471472384,0.045638928471472384
Neonatal_mort,0.0027285714285714318,0.029128263742405004,0.031856835170976434
Wasting_u5s,0.0,0.029185921707412733,0.029185921707412733
AIDS_Orph,0.013571428571428562,0.015293809141023544,0.028865237712452106
Poverty,0.011142857142857137,0.013986822220856454,0.02512967936371359
Sexwrk_Syphilis,0.0,0.022522302857005117,0.022522302857005117
Undernourish,0.0,0.017205603555987353,0.017205603555987353
Climate_chg_vuln,0.0,0.01658459139026871,0.01658459139026871
Child_lab,0.0,0.014128105217014821,0.014128105217014821
