,dt__max_depth,dt__min_samples_split,dt__random_state,nmf__alpha,nmf__n_components,nmf__solver
0.25547300619634045,4,2,48,2,6,cd
0.2681235243507347,4,2,3,1,7,cd
0.2563301490534832,4,2,39,2,6,cd
0.2553301490534832,4,2,50,2,6,cd
0.25618729191062617,4,2,7,2,6,cd
0.26076482176299987,4,3,11,1,7,cd
0.24880633952967374,4,2,46,2,6,cd
0.2554730061963404,4,2,12,2,6,cd
0.24866348238681663,4,2,14,2,6,cd
0.25633014905348334,4,2,16,2,6,cd
0.2561872919106261,4,2,20,2,6,cd
0.2680199127242659,4,2,23,1,7,cd
0.26498601592981613,4,2,24,1,7,cd
0.2682301897283678,4,3,25,1,7,cd
0.25479443476776903,4,2,28,2,6,cd
0.24966348238681657,4,2,32,2,6,cd
0.26596220640600665,4,3,33,1,7,cd
0.2553301490534833,4,2,33,2,6,cd
0.26829187673567695,4,2,36,1,7,cd
0.26699077783457803,4,3,37,1,7,cd
0.2563301490534833,4,2,49,2,6,cd
0.2654834606049567,4,2,45,1,7,cd
0.2680775910213912,4,2,47,1,7,cd
0.25540157762491184,4,3,50,2,6,cd
0.26783781006502044,4,3,3,1,7,cd
0.2656541457723239,4,3,4,1,7,cd
0.2562587204820547,4,3,49,2,6,cd
0.2656642535811817,4,3,8,1,7,cd
0.24873491095824518,4,3,44,2,6,cd
0.2554015776249119,4,3,43,2,6,cd
0.2696288730726733,4,3,24,1,7,cd
0.25486586333919753,4,3,28,2,6,cd
0.24873491095824513,4,3,46,2,6,cd
0.24959205381538802,4,3,32,2,6,cd
0.26800616244996267,4,3,36,1,7,cd
0.26278253000586427,4,4,48,2,6,cd
0.2627825300058642,4,4,50,2,6,cd
0.2636396728630071,4,4,49,2,6,cd
0.26363967286300716,4,4,16,2,6,cd
0.2561158633391976,4,4,44,2,6,cd
0.2627825300058643,4,4,25,2,6,cd
0.26224681572014996,4,4,28,2,6,cd
0.2569730061963404,4,4,32,2,6,cd
0.26689553973934,4,4,37,1,7,cd
0.25611586333919756,4,4,46,2,6,cd
0.2688115552103049,5,2,2,1,7,cd
0.26752423366198297,5,2,3,2,6,cd
0.254623571298636,5,2,5,1,7,cd
0.26288137651912585,5,2,6,2,6,cd
0.26278467210259393,5,2,7,1,7,cd
0.26766709080484014,5,2,7,2,6,cd
0.2628186857080361,5,2,9,1,7,cd
0.26673659954023565,5,2,11,1,7,cd
0.26078467210259393,5,2,14,1,7,cd
0.2641670908048401,5,2,13,2,6,cd
0.26927742102034286,5,2,16,1,7,cd
0.2556670908048401,5,2,16,2,6,cd
0.26966709080484014,5,2,20,2,6,cd
0.26112435464227646,5,2,25,1,7,cd
0.26095280509055446,5,2,28,2,6,cd
0.2646494064021108,5,2,29,1,7,cd
0.26790326620690225,5,2,31,1,7,cd
0.267378431121353,5,2,34,1,7,cd
0.262733203333268,5,2,35,1,7,cd
0.26838137651912586,5,2,35,2,6,cd
0.2649965871716518,5,2,36,1,7,cd
0.2637816057245275,5,2,39,1,7,cd
0.25856210481480923,5,2,42,1,7,cd
0.25938137651912585,5,2,46,2,6,cd
0.2636643876251666,5,2,47,1,7,cd
0.25809566223341157,5,2,47,2,6,cd
0.2570862594041812,5,2,48,1,7,cd
0.2665657481693843,5,2,50,1,7,cd
0.26900679125328447,5,3,3,1,7,cd
0.2611418149597368,5,3,4,1,7,cd
0.26923851937626875,5,3,48,2,6,cd
0.2562664284414931,5,3,5,1,7,cd
0.2627385193762687,5,3,6,2,6,cd
0.267506131595482,5,3,8,1,7,cd
0.26107945668309274,5,3,11,1,7,cd
0.2684275292454511,5,3,13,1,7,cd
0.2635956622334115,5,3,13,2,6,cd
0.26475781166144774,5,3,15,1,7,cd
0.25966709080484013,5,3,16,2,6,cd
0.2690659749267539,5,3,18,1,7,cd
0.26692752924545105,5,3,19,1,7,cd
0.2649275292454511,5,3,20,1,7,cd
0.2681622130399175,5,3,22,1,7,cd
0.26123320333326805,5,3,23,1,7,cd
0.2638786733394523,5,3,24,1,7,cd
0.26899102130894315,5,3,25,1,7,cd
0.2680397741434103,5,3,27,1,7,cd
0.2690794566830928,5,3,28,1,7,cd
0.26223851937626874,5,3,28,2,6,cd
0.26997469477833086,5,3,31,1,7,cd
0.2600030380278564,5,3,33,1,7,cd
0.26973557397849585,5,3,34,1,7,cd
0.25656801574308036,5,3,36,1,7,cd
0.26642969374761555,5,3,37,1,7,cd
0.26458591433861883,5,3,42,1,7,cd
0.26251596461960075,5,3,43,1,7,cd
0.2674156298611914,5,3,45,1,7,cd
0.2588099479476973,5,3,46,2,6,cd
0.264545340006119,5,3,47,1,7,cd
0.25795280509055446,5,3,47,2,6,cd
0.2611576879756098,5,3,48,1,7,cd
0.2666711903462551,5,4,5,1,7,cd
0.2683979477158695,5,4,33,1,7,cd
0.2696394443145089,5,4,36,1,7,cd
0.2679773127952346,5,4,37,1,7,cd
0.26973664463483193,6,2,25,1,7,cd
0.26585829329429567,6,2,42,1,7,cd
0.26509950644622315,6,3,4,1,7,cd
0.26619582830830124,6,3,11,1,7,cd
0.2661136956401995,6,3,16,2,6,cd
0.2662685726692035,6,3,36,1,7,cd
0.26958611284316786,6,3,43,1,7,cd
