,dt__max_depth,dt__max_features,dt__min_samples_split,dt__random_state,nmf__alpha,nmf__n_components,nmf__solver
0.2555917570471991,3,0.3,2,8,2.0,7,cd
0.2668017916803575,3,0.3,2,10,2.0,5,cd
0.2648766588668728,3,0.3,2,22,2.0,5,cd
0.2589834042628215,3,0.3,3,39,2.0,5,cd
0.2566205325574032,3,0.3,4,8,2.0,7,cd
0.26582278484897304,3,0.3,3,12,2.0,6,cd
0.26262706937590397,3,0.3,3,22,2.0,5,cd
0.26058750596607183,3,0.3,4,10,2.0,5,cd
0.26451326103944917,3,0.3,4,12,2.0,6,cd
0.2654129415066544,3,0.3,4,22,0.5,7,cd
0.26524611699495154,3,0.3,4,22,2.0,5,cd
0.2627606936401109,3,0.3,4,39,2.0,5,cd
0.26660667733699334,3,0.5,4,10,2.0,7,cd
0.2579004164321915,3,0.5,3,16,2.0,5,cd
0.2620525698469,3,0.5,4,25,1.0,6,cd
0.250632639714578,3,0.5,4,39,2.0,5,cd
0.26762777586552766,3,0.5,3,41,0.5,5,cd
0.2580115275433027,3,0.5,4,16,2.0,5,cd
0.26792012740091153,3,0.5,4,34,0.5,5,cd
0.2693665921612767,3,0.5,4,41,0.5,5,cd
0.26797185437062027,3,0.7,2,4,2.0,7,cd
0.2670045003979591,3,0.7,3,10,2.0,5,cd
0.2606272566768889,3,0.7,3,45,2.0,5,cd
0.26750694011250714,3,0.7,2,46,2.0,5,cd
0.2685430711556695,3,0.7,4,42,2.0,5,cd
0.26735741540704766,3,0.7,4,45,2.0,5,cd
0.26791466147064885,4,0.3,2,32,0.5,5,cd
0.2678538514970868,4,0.3,3,27,1.0,7,cd
0.2661846335620495,4,0.3,3,32,0.5,5,cd
0.25058808085619233,4,0.3,4,12,2.0,5,cd
0.26553721218135395,4,0.3,4,22,0.5,6,cd
0.2574249198256264,4,0.3,4,44,2.0,5,cd
0.2546018051159858,4,0.5,2,20,2.0,5,cd
0.26343546333331175,4,0.5,2,22,2.0,6,cd
0.2611176688866859,4,0.5,2,31,2.0,7,cd
0.26438597011012593,4,0.5,2,32,2.0,6,cd
0.26101383014840407,4,0.5,2,36,0.5,5,cd
0.24935140285416513,4,0.5,2,43,0.5,5,cd
0.2690540276860811,4,0.5,3,6,2.0,6,cd
0.2679784421065355,4,0.5,3,19,2.0,6,cd
0.23956795642499432,4,0.5,3,20,2.0,5,cd
0.26460126235735765,4,0.5,3,22,2.0,6,cd
0.26893081524613704,4,0.5,3,42,2.0,6,cd
0.26997080012449,4,0.5,4,1,0.5,5,cd
0.2562577904447265,4,0.5,4,15,0.5,5,cd
0.26212120956520846,4,0.5,4,15,2.0,6,cd
0.23171785971964545,4,0.5,4,20,2.0,5,cd
0.26483283720211925,4,0.5,4,23,2.0,6,cd
0.2656731408646965,4,0.5,4,42,2.0,6,cd
0.26386966952208574,4,0.7,2,9,1.0,6,cd
0.2642969945449314,4,0.7,2,12,2.0,6,cd
0.2575559590417082,4,0.7,2,18,2.0,6,cd
0.2611106978487732,4,0.7,2,29,2.0,5,cd
0.26453417680430186,4,0.7,2,36,2.0,6,cd
0.2688676259516211,4,0.7,3,9,1.0,6,cd
0.2651086940477536,4,0.7,3,29,2.0,6,cd
0.2584152283049775,4,0.7,3,36,2.0,6,cd
0.2678210510585633,4,0.7,4,2,2.0,6,cd
0.26943835019589757,4,0.7,4,23,2.0,6,cd
0.2527000901166707,4,0.7,4,29,2.0,6,cd
0.2635424585793749,4,0.7,4,32,2.0,6,cd
0.2670069228805523,5,0.3,2,38,2.0,5,cd
0.2565353440793567,5,0.3,2,47,2.0,6,cd
0.26463532776747056,5,0.3,3,5,0.5,7,cd
0.2656937520211127,5,0.3,3,10,2.0,5,cd
0.26661503915487916,5,0.3,3,30,1.0,6,cd
0.2650835537245201,5,0.3,4,5,0.5,7,cd
0.2687652654725244,5,0.3,4,12,2.0,6,cd
0.26682848220290395,5,0.3,4,13,1.0,6,cd
0.2699786127271421,5,0.3,4,20,1.0,6,cd
0.2583039560717152,5,0.3,4,29,2.0,5,cd
0.25906128853985944,5,0.3,4,38,2.0,5,cd
0.25083677909637664,5,0.5,4,12,2.0,6,cd
0.26093220075909157,5,0.5,4,35,2.0,6,cd
0.2643645006905584,5,0.7,3,5,2.0,6,cd
0.267758681011677,5,0.7,4,5,2.0,6,cd
0.26921514431504845,5,0.7,4,15,2.0,6,cd
0.25704423102574364,5,0.7,4,28,2.0,6,cd
0.26875452768642727,5,0.7,4,36,2.0,6,cd
0.25565868930568175,6,0.3,3,18,1.0,6,cd
0.2646294475365904,6,0.3,3,33,2.0,6,cd
0.2643938672438672,6,0.3,3,43,2.0,6,cd
0.24601626366556367,6,0.3,4,47,2.0,5,cd
0.26008602941176473,6,0.3,4,50,2.0,7,cd
0.2655304318697176,6,0.5,2,19,2.0,6,cd
0.26798356009070295,6,0.5,4,27,2.0,6,cd
0.2699387356967612,6,0.5,4,28,2.0,6,cd
0.26300973963379976,6,0.5,4,30,2.0,5,cd
0.26524894867037724,6,0.7,4,24,0.5,6,cd
0.2693481799946086,6,0.7,4,29,2.0,6,cd
0.2682353107909831,6,0.7,4,36,2.0,6,cd
